key,usen,jpja,cnch
Archer,Archer,アーチャー,弓箭手
Avenir,Avenir,アヴニール,阿巴尼尔
AvenirLC,Noble,ノーブル,王室贵族
AxArmor,Axe Armor,アクスアーマー,重斧兵
AxFighter,Axe Fighter,アクスファイター,斧战士
AxKnight,Axe Cavalier,アクスナイト,斧骑士
AxPegasus,Axe Flier,アクスペガサス,斧飞马骑士
Barbarian,Barbarian,蛮族,蛮族
Berserker,Berserker,ベルセルク,狂斗士
BowKnight,Bow Knight,ボウナイト,弓骑士
BraveHero,Hero,ブレイブヒーロー,无畏英雄
Cupido,Cupido,クピードー,邱比特
CupidoLC,Sentinel,ヴィジランテ,义警队
Dancer,Dancer,ダンサー,舞蹈家
DragonKing,Divine Dragon,神竜ノ王,神龙之王
DragonKnight,Wyvern Knight,ドラゴンナイト,飞龙骑士
DragonLord,Dragon Child,神竜ノ子,神龙之子
Emblem,Emblem,紋章士,纹章士
Fleurage,Vidame,フロラージュ,弗罗剌祝
FleurageLC,Noble,ノーブル,王室贵族
General,General,ジェネラル,将军
GreatKnight,Great Knight,グレートナイト,英勇骑士
GriffonKnight,Griffin Knight,グリフォンナイト,格里芬骑士
Halberdier,Halberdier,ハルバーディア,枪斗士
HighPriest,High Priest,ハイプリースト,主教
LanceArmor,Lance Armor,ランスアーマー,重枪兵
LanceFighter,Lance Fighter,ランスファイター,枪战士
LanceKnight,Lance Cavalier,ランスナイト,枪骑士
LancePegasus,Lance Flier,ランスペガサス,枪飞马骑士
Lindwurm,Lindwurm,リンドブルム,林德普尔姆
LindwurmLC,Wing Tamer,テイマー,驯兽师
Mage,Mage,マージ,魔法师
MageKnight,Mage Knight,マージナイト,魔法师骑士
MasterMonk,Martial Master,マスターモンク,僧侣大师
Melusine,Melusine,メリュジーヌ,美露莘
Monk,Martial Monk,モンク,僧侣
MorphDragon,Corrupted Wyrm,異形竜,异形龙
Paladin,Paladin,パラディン,圣骑士
PhantomDragon,Phantom Wyrm,幻影竜,幻影龙
Pitchfork,Picket,ピッチフォーク,草叉枪兵
PitchforkLC,Sentinel,ヴィジランテ,义警队
RoyalKnight,Royal Knight,ロイヤルナイト,皇家骑士
Sage,Sage,セイジ,圣者
ShadowDragon,Great Fell Dragon,大邪竜,大邪龙
ShadowKing,Fell Monarch,邪竜ノ王,邪龙之王
ShadowLord,Fell Child,邪竜ノ子,邪龙之子
ShadowPrincess,Fell Child,邪竜ノ娘,邪龙之女
Sleipnir,Sleipnir Rider,スレイプニル,斯雷普尼尔
SleipnirLC,Wing Tamer,テイマー,驯兽师
Sniper,Sniper,スナイパー,狙击手
Successeur,Successeur,スュクセサール,继承者
SuccesseurLC,Lord,ロード,领主
SwordArmor,Sword Armor,ソードアーマー,重剑兵
SwordFighter,Sword Fighter,ソードファイター,刀剑战士
SwordKnight,Sword Cavalier,ソードナイト,剑骑士
SwordMaster,Swordmaster,ソードマスター,刀剑将领
SwordPegasus,Sword Flier,ソードペガサス,剑飞马骑士
Thief,Thief,シーフ,小偷
Tirailleur,Tireur d'élite,ティラユール,狙击兵
TirailleurLC,Lord,ロード,领主
Villager,Villager,村人,村民
Warrior,Warrior,ウォーリアー,勇士
WolfKnight,Wolf Knight,ウルフナイト,狼骑士
